No.,name,エリア,height,難易度(5段階),定数(体力度),参考日程,緯度,経度,住所,googlemaplink,画像,YAMAP
11,八甲田山,東北,1585m,★★,20,日帰り,40.66480602,140.9120791,〒030-0955 <br>青森県青森市駒込深沢,"https://www.google.com/maps/place/%E5%85%AB%E7%94%B2%E7%94%B0%E5%B1%B1/@40.6647735,140.9077446,16z/data=!3m1!4b1!4m5!3m4!1s0x5f9b12f29eff7acb:0x56624a1e625723e!8m2!3d40.6647741!4d140.912122",https://kokutoweb.littlestar.jp/neichizu/img/hyakumeizan/011hakkouda.avif,https://yamap.com/mountains/131
12,八幡平,東北,1613m,★★,16,日帰り,39.95771887,140.854014,〒028-7557 <br>岩手県八幡平市細野,"https://www.google.com/maps/place/%E5%85%AB%E5%B9%A1%E5%B9%B3/@39.95877,140.8572258,15.25z/data=!4m13!1m7!3m6!1s0x5f853b0a54f629e7:0x9177a6798ac86446!2z5bKp5omL55yM5YWr5bmh5bmz5biC!3b1!8m2!3d39.9565121!4d141.0712561!3m4!1s0x5f8546d5108a76b7:0xd54650b90d2738f5!8m2!3d39.9577639!4d140.8540821",https://kokutoweb.littlestar.jp/neichizu/img/hyakumeizan/012hachimantai.avif,https://yamap.com/mountains/37
13,岩手山,東北,2038m,★★★,37,日帰り,39.85260379,141.0009531,〒028-7302 <br>岩手県八幡平市松尾寄木,"https://www.google.com/maps/place/%E5%B2%A9%E6%89%8B%E5%B1%B1/@39.8526203,140.9966401,16z/data=!3m1!4b1!4m5!3m4!1s0x5f856c6e62f7fe53:0xb522b28d0d1a6361!8m2!3d39.8526209!4d141.0010175",https://kokutoweb.littlestar.jp/neichizu/img/hyakumeizan/013iwate.avif,https://yamap.com/mountains/38
14,早池峰山,東北,1917m,★★,19,日帰り,39.55840897,141.4889644,〒028-2421 <br>岩手県宮古市江繋,"https://www.google.com/maps/place/%E6%97%A9%E6%B1%A0%E5%B3%B0%E5%B1%B1/@39.558409,141.4846085,16z/data=!3m1!4b1!4m5!3m4!1s0x5f8594f76f71e597:0x684afd0a15c9b3ed!8m2!3d39.5584096!4d141.4889859",https://kokutoweb.littlestar.jp/neichizu/img/hyakumeizan/014hayachine.avif,https://yamap.com/mountains/39
15,鳥海山,東北,2236m,★★★,34,日帰り,39.09884853,140.0440476,〒999-8521 <br>山形県飽海郡遊佐町吹浦,"https://www.google.com/maps/place/%E9%B3%A5%E6%B5%B7%E5%B1%B1/@39.098613,140.0371895,15.5z/data=!4m5!3m4!1s0x5f8eed559b6f460d:0x8e67ba4656d9ec4d!8m2!3d39.0988592!4d140.0440705",https://kokutoweb.littlestar.jp/neichizu/img/hyakumeizan/015choukai.avif,https://yamap.com/mountains/154
16,月山,東北,1984m,★★,22,日帰り,38.54947319,140.0269756,〒997-0131 <br>山形県鶴岡市羽黒町川代,"https://www.google.com/maps/place/%E6%9C%88%E5%B1%B1/@38.54949,140.0226197,16z/data=!3m1!4b1!4m5!3m4!1s0x5f8bf13e67dbd9b7:0x6840d16077b4de6a!8m2!3d38.5494906!4d140.0269971",https://kokutoweb.littlestar.jp/neichizu/img/hyakumeizan/016gassan.avif,https://yamap.com/mountains/43
17,朝日連峰,東北,1870m,☆☆,☆☆☆,2泊3日,38.26052172,139.9221791,〒990-1573 <br>山形県西村山郡朝日町立木,"https://www.google.com/maps/place/%E6%9C%9D%E6%97%A5%E5%B2%B3/@38.2605554,139.9178446,16z/data=!3m1!4b1!4m5!3m4!1s0x5f8ba3d2bd319ae3:0x9113dc52a1fc89ed!8m2!3d38.260556!4d139.922222",https://kokutoweb.littlestar.jp/neichizu/img/hyakumeizan/017asahi-ren.avif,https://yamap.com/mountains/44
18,蔵王山,東北,1841m,★★,14,日帰り,38.1529497,140.4457623,〒990-2301 <br>山形県山形市蔵王温泉,"https://www.google.com/maps/place/%E8%94%B5%E7%8E%8B%E5%B1%B1/@38.1529666,140.4414493,16z/data=!3m1!4b1!4m5!3m4!1s0x5f8a48d74f3ec093:0xa1e58e355a14da75!8m2!3d38.1529672!4d140.4458267",https://kokutoweb.littlestar.jp/neichizu/img/hyakumeizan/018zaou.avif,https://yamap.com/mountains/191
19,飯豊連峰,東北,2105m,☆☆☆,☆☆☆,2泊3日,37.85481018,139.7071636,〒969-4108 <br>福島県喜多方市山都町一ノ木,"https://www.google.com/maps/place/%E9%A3%AF%E8%B1%8A%E5%B1%B1/@37.8495425,139.6897234,14.71z/data=!4m13!1m7!3m6!1s0x5f8ad9e35942775d:0x5a8adc2ac34bd716!2z6aOv6LGK5bGx5Zyw!3b1!8m2!3d37.833056!4d139.6605559!3m4!1s0x5f8ad96e8a4757cf:0xa72f43564af626ea!8m2!3d37.8548303!4d139.7071052",https://kokutoweb.littlestar.jp/neichizu/img/hyakumeizan/019iide.avif,https://yamap.com/mountains/155
20,吾妻山,東北,2035m,☆☆,☆☆☆,1泊2日,37.73865161,140.1404546,〒966-0501 <br>福島県耶麻郡北塩原村檜原,"https://www.google.com/maps/place/%E8%A5%BF%E5%90%BE%E5%A6%BB%E5%B1%B1/@37.7353935,140.0779699,12z/data=!4m10!1m2!2m1!1z5ZC-5aa75bGx!3m6!1s0x5f8a95c30e75d5fd:0xa92734632b52a140!8m2!3d37.7384646!4d140.1408447!15sCgnlkL7lprvlsbFaDCIK5ZC-5aa7IOWxsZIBBHBlYWuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRPVnBQTjJ4UlJSQULgAQA!16s%2Fg%2F120rlltd",https://kokutoweb.littlestar.jp/neichizu/img/hyakumeizan/020agatsuma.avif,https://yamap.com/mountains/156
21,安達太良山,東北,1700m,☆☆,☆,日帰り,37.62108768,140.28784,〒963-1301 <br>福島県郡山市熱海町石筵黒森,"https://www.google.com/maps/place/%E5%AE%89%E9%81%94%E5%A4%AA%E8%89%AF%E5%B1%B1/@37.6211217,140.2834841,16z/data=!3m1!4b1!4m5!3m4!1s0x5f8aa1dc54f58cd1:0xc9e714fabe009a0c!8m2!3d37.6211223!4d140.2878615",https://cdn.yamap.co.jp/public/image2.yamap.co.jp/production/b50271950da149c094bef65a55c74422?h=1080&t=resize&w=1440&f=webp&q=60,https://cdn.yamap.co.jp/public/image2.yamap.co.jp/production/32983236?h=1080&t=resize&w=1620&f=webp
22,磐梯山,東北,1819m,☆☆,☆☆,日帰り,37.60085946,140.0720368,〒969-3100 <br>福島県耶麻郡猪苗代町磐梯山,"https://www.google.com/maps/place/%E7%A3%90%E6%A2%AF%E5%B1%B1/@37.6009411,140.0678727,16z/data=!3m1!4b1!4m5!3m4!1s0x5f8aa565471aad81:0xb6ecffcff8edabe5!8m2!3d37.6009417!4d140.0722501",https://cdn.yamap.co.jp/public/image2.yamap.co.jp/production/33018613?h=1080&t=resize&w=1620&f=webp,https://yamap.com/mountains/158
23,会津駒ヶ岳,東北,2132m,☆☆,☆☆,1泊2日,37.04748229,139.3538461,〒967-0500 <br>福島県南会津郡檜枝岐村駒ケ岳,"https://www.google.com/maps/place/%E4%BC%9A%E6%B4%A5%E9%A7%92%E3%83%B6%E5%B2%B3/@37.0474994,139.3495116,16z/data=!3m1!4b1!4m5!3m4!1s0x601e2d584a09ec79:0xfd3ac719a0dbfd50!8m2!3d37.0475!4d139.353889",https://cdn.yamap.co.jp/public/image2.yamap.co.jp/production/33018727?h=1080&t=resize&w=1620&f=webp,https://yamap.com/mountains/159
24,那須岳,北関東,1915m,☆☆,☆☆,1泊2日,37.14254685,139.9553736,〒325-0111 <br>栃木県那須塩原市板室,"https://www.google.com/maps/place/%E9%82%A3%E9%A0%88%E5%B2%B3/@37.1426666,139.9465116,15z/data=!3m1!4b1!4m5!3m4!1s0x601f8b6bb812cd65:0x1e3402d8e4d21192!8m2!3d37.1426503!4d139.9552878",https://www.data.jma.go.jp/svd/vois/data/tokyo/301_Nasudake/301_picture1.jpg,https://yamap.com/mountains/8564
25,筑波山,北関東,877m,☆,☆,日帰り,36.22537483,140.1074925,〒300-4352 <br>茨城県つくば市筑波,"ttps://www.google.com/maps/place/%E7%AD%91%E6%B3%A2%E5%B1%B1/@36.2253921,140.0987163,15z/data=!3m1!4b1!4m5!3m4!1s0x6022042b41065381:0x7c8e52f7f8f597c8!8m2!3d36.2253757!4d140.1074925",https://upload.wikimedia.org/wikipedia/commons/2/2a/Mount_Tsukuba_seen_from_the_WSW_%282006%29.jpg,https://yamap.com/mountains/90
26,燧ヶ岳,尾瀬,2356m,☆☆,☆☆,1泊2日,36.97124686,139.3043842,〒967-0531 <br>福島県南会津郡檜枝岐村燧ケ岳,"https://www.google.com/maps/place/%E7%87%A7%E3%83%B6%E5%B2%B3/@37.0010019,139.2242183,12z/data=!4m10!1m2!2m1!1z54en44O25bKz!3m6!1s0x601e33e2bf85f06d:0x76cbee21f35131d!8m2!3d36.9552015!4d139.285388!15sCgnnh6fjg7blsrOSAQRwZWFr4AEA!16s%2Fg%2F122w6288",https://upload.wikimedia.org/wikipedia/commons/6/6e/Mt.Hiuchi_and_Miharashi.JPG,https://yamap.com/mountains/163
27,至仏山,尾瀬,2228m,☆☆,☆☆,1泊2日,36.90321686,139.1732973,〒378-0411 <br>群馬県利根郡片品村戸倉,"https://www.google.com/maps/place/%E8%87%B3%E4%BB%8F%E5%B1%B1/@36.9032683,139.164564,15z/data=!3m1!4b1!4m5!3m4!1s0x601e3a25fcbc8673:0x492fa0f7c5b57165!8m2!3d36.903252!4d139.1733402",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/%E5%88%9D%E5%A4%8F%E3%81%AE%E8%87%B3%E4%BB%8F%E5%B1%B1.jpg/360px-%E5%88%9D%E5%A4%8F%E3%81%AE%E8%87%B3%E4%BB%8F%E5%B1%B1.jpg,https://yamap.com/mountains/103
28,武尊山,上州,2158m,☆☆,☆☆☆,日帰り,36.80531192,139.1325881,〒378-0102 <br>群馬県利根郡川場村川場湯原,"https://www.google.com/maps/place/%E6%AD%A6%E5%B0%8A%E5%B1%B1/@36.8053635,139.1238978,15z/data=!3m1!4b1!4m5!3m4!1s0x601e475736587ad7:0xf355ce0a803255ca!8m2!3d36.8053471!4d139.132674",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Mount_Joshu-Hotaka.JPG/450px-Mount_Joshu-Hotaka.JPG,https://yamap.com/mountains/170
29,赤城山,上州,1828m,☆,☆☆,日帰り,36.53885294,139.1664295,〒371-0101 <br>群馬県前橋市富士見町赤城山,"https://www.google.com/maps/place/%E8%B5%A4%E5%9F%8E%E5%B1%B1/@36.5389736,139.1576533,15z/data=!3m1!4b1!4m5!3m4!1s0x601e580d37ce83d5:0xf2d8580aaadac627!8m2!3d36.5389572!4d139.1664295",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/MountAkagi.jpg/450px-MountAkagi.jpg,https://yamap.com/mountains/21
30,男体山,日光,2486m,☆☆,☆☆,日帰り,36.76541482,139.4907036,〒321-1661 <br>栃木県日光市中宮祠,"https://www.google.com/maps/place/%E7%94%B7%E4%BD%93%E5%B1%B1/@36.7655008,139.4819703,15z/data=!3m1!4b1!4m5!3m4!1s0x601faefc928ed7a5:0x31d961809e1c60e4!8m2!3d36.7654844!4d139.4907465",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Mount_nantai_and_lake_chuzenji.jpg/450px-Mount_nantai_and_lake_chuzenji.jpg,https://yamap.com/mountains/20
31,日光白根山,日光,2578m,☆☆,☆☆,日帰り,36.79863161,139.3758686,〒378-0414 <br>群馬県利根郡片品村東小川,"https://www.google.com/maps/place/%E6%97%A5%E5%85%89%E7%99%BD%E6%A0%B9%E5%B1%B1/@36.7986832,139.3671353,15z/data=!3m1!4b1!4m5!3m4!1s0x601fb2d714b73dcf:0x86ed7d115207607!8m2!3d36.7986668!4d139.3759115",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Mt.Nikko-Shirane.jpg/450px-Mt.Nikko-Shirane.jpg,https://yamap.com/mountains/252
32,皇海山,足尾,2144m,☆☆,☆,日帰り,36.68981215,139.3371069,〒378-0303 <br>群馬県沼田市利根町追貝,"https://www.google.com/maps/place/%E7%9A%87%E6%B5%B7%E5%B1%B1/@36.6898982,139.3283736,15z/data=!3m1!4b1!4m5!3m4!1s0x601e536e6093aea1:0x833b560dab3a9c99!8m2!3d36.6898818!4d139.3371498",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Sukai-01.jpg/450px-Sukai-01.jpg,https://yamap.com/mountains/169
33,越後駒ヶ岳,上信越,2003m,☆☆,☆☆☆,1泊2日,37.12357591,139.075278,〒949-7234 <br>新潟県南魚沼市荒山,"https://www.google.com/maps/place/%E8%B6%8A%E5%BE%8C%E9%A7%92%E3%83%B6%E5%B2%B3/@37.1236272,139.0665018,15z/data=!3m1!4b1!4m5!3m4!1s0x5ff589614fcfe83f:0x62236c48d79b76d!8m2!3d37.123611!4d139.075278",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Mt.Echigo-Komagatake.jpg/450px-Mt.Echigo-Komagatake.jpg,https://yamap.com/mountains/160
34,平ヶ岳,上信越,2141m,☆,☆☆☆,1泊2日,37.0022079,139.170891,〒946-0084 <br>新潟県魚沼市宇津野,"https://www.google.com/maps/place/%E5%B9%B3%E3%83%B6%E5%B2%B3/@37.0022422,139.1620719,15z/data=!3m1!4b1!4m5!3m4!1s0x601e2506680ef22f:0x852631eae47dc3e!8m2!3d37.002243!4d139.1708481",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Mt._Hiragatake_0809.JPG/450px-Mt._Hiragatake_0809.JPG,https://yamap.com/mountains/161
35,巻機山,上信越,1967m,☆,☆☆,前夜泊日帰り,36.97855149,138.9643751,〒949-6754 <br>新潟県南魚沼市永松,"https://www.google.com/maps/place/%E5%B7%BB%E6%A9%9F%E5%B1%B1/@36.9786029,138.9555989,15z/data=!3m1!4b1!4m5!3m4!1s0x601e1e9c1633e8a7:0xbec3e043a5dfdfa5!8m2!3d36.9785866!4d138.9643751",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/%E5%B7%BB%E6%A9%9F%E5%B1%B1%E3%83%BB%E5%8F%A4%E5%B3%B0%E5%B1%B1.JPG/450px-%E5%B7%BB%E6%A9%9F%E5%B1%B1%E3%83%BB%E5%8F%A4%E5%B3%B0%E5%B1%B1.JPG,https://yamap.com/mountains/162
36,谷川岳,上信越,1963m,☆☆,☆☆,前夜泊日帰り,36.83452388,138.9301973,〒379-1728 <br>群馬県利根郡みなかみ町湯桧曽,"https://www.google.com/maps/place/%E8%B0%B7%E5%B7%9D%E5%B2%B3/@36.8346098,138.9213782,15z/data=!3m1!4b1!4m5!3m4!1s0x601e10fd3588309b:0x22f5741279db2da3!8m2!3d36.8345934!4d138.9301544",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Tanigawadake.jpg/450px-Tanigawadake.jpg,https://yamap.com/mountains/164
37,苗場山,上信越,2145m,☆☆,☆☆,2泊3日,36.84571519,138.6904786,〒949-6212 <br>新潟県南魚沼郡湯沢町三国,"https://www.google.com/maps/place/%E8%8B%97%E5%A0%B4%E5%B1%B1/@36.845801,138.6817024,15z/data=!3m1!4b1!4m5!3m4!1s0x601dfe70eac3e33b:0x6d91c761972215d6!8m2!3d36.8457847!4d138.6904786",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Moor_of_Mt._Naeba_in_the_late_autumn_2016.jpg/450px-Moor_of_Mt._Naeba_in_the_late_autumn_2016.jpg,https://yamap.com/mountains/152
38,雨飾山,上信越,1963m,☆☆,☆☆,前夜泊日帰り,36.90214706,137.9624713,〒949-0544 <br>新潟県糸魚川市梶山,"https://www.google.com/maps/place/%E9%9B%A8%E9%A3%BE%E5%B1%B1/@36.9021985,137.9536951,15z/data=!3m1!4b1!4m5!3m4!1s0x5ff6479eabe2acf3:0x46e43be3719f26bb!8m2!3d36.9021822!4d137.9624713",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Mount_Amakazari.jpg/450px-Mount_Amakazari.jpg,https://yamap.com/mountains/165
39,妙高山,上信越,2454m,☆☆,☆☆,1泊2日,36.89247631,138.1130459,〒949-2235 <br>新潟県妙高市関山,"https://www.google.com/maps/place/%E5%A6%99%E9%AB%98%E5%B1%B1/@36.8925278,138.1042697,15z/data=!3m1!4b1!4m5!3m4!1s0x5ff63e91d05d4ac9:0xe7bef3334b5ff96f!8m2!3d36.8925115!4d138.1130459",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Mt_Myoko_from_Northeast.JPG/450px-Mt_Myoko_from_Northeast.JPG,https://yamap.com/mountains/166
40,火打山,上信越,2462m,☆☆,☆☆,1泊2日,36.92264576,138.0681294,〒949-1223 <br>新潟県糸魚川市中川原新田,"https://www.google.com/maps/place/%E7%81%AB%E6%89%93%E5%B1%B1/@36.9227315,138.0593532,15z/data=!3m1!4b1!4m5!3m4!1s0x5ff63f70de24d355:0xd440e52e69477d77!8m2!3d36.9227152!4d138.0681294",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Hiuchitama_1999-9-4.jpg/450px-Hiuchitama_1999-9-4.jpg,https://yamap.com/mountains/167
41,高妻山,上信越,2353m,☆☆,☆☆☆,日帰り,36.7999344,138.0519341,〒381-4101 <br>長野県長野市戸隠,"https://www.google.com/maps/place/%E9%AB%98%E5%A6%BB%E5%B1%B1/@36.8000203,138.0431579,15z/data=!3m1!4b1!4m5!3m4!1s0x5ff6303f9c3ee7bf:0x6b972e9fb5a087c2!8m2!3d36.800004!4d138.0519341",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Mount_Takatsuma_from_Mount_Hiuchi_1996-6-29.jpg/450px-Mount_Takatsuma_from_Mount_Hiuchi_1996-6-29.jpg,https://yamap.com/mountains/168
42,草津白根山,上信越,2165m,☆,☆,前夜泊1日,36.61996473,138.535,〒377-1711 <br>群馬県吾妻郡草津町草津,"https://www.google.com/maps/place/%E8%8D%89%E6%B4%A5%E7%99%BD%E6%A0%B9%E5%B1%B1/@36.6200164,138.5262238,15z/data=!3m1!4b1!4m5!3m4!1s0x601def3385b78abf:0xf56ca7be4851531c!8m2!3d36.62!4d138.535",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Kusatsu-Shiranesan03s5s4272.jpg/450px-Kusatsu-Shiranesan03s5s4272.jpg,https://yamap.com/mountains/171
43,四阿山,上信越,2354m,☆☆,☆☆,前夜泊1日,36.54135922,138.4125345,〒377-1614 <br>群馬県吾妻郡嬬恋村田代,"https://www.google.com/maps/place/%E5%9B%9B%E9%98%BF%E5%B1%B1/@36.5414454,138.4037797,15z/data=!3m1!4b1!4m5!3m4!1s0x601deadf2fe62beb:0xf137e6f30635bac5!8m2!3d36.541429!4d138.4125345",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Mt.Azumaya.JPG/450px-Mt.Azumaya.JPG,https://yamap.com/mountains/51
44,浅間山,上信越,2568m,☆,☆☆,前夜泊1日,36.40760024,138.5206426,〒377-1524 <br>群馬県吾妻郡嬬恋村鎌原,"https://www.google.com/maps/place/%E6%B5%85%E9%96%93%E5%B1%B1/@36.407652,138.5119093,15z/data=!3m1!4b1!4m5!3m4!1s0x601dcf83e00cf171:0xeb942470140439fb!8m2!3d36.4076356!4d138.5206855",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/AsamaYamaS.jpg/450px-AsamaYamaS.jpg,https://yamap.com/mountains/172
45,両神山,秩父,1723m,☆☆,☆☆,日帰り,36.02354144,138.8412195,〒368-0201 <br>埼玉県秩父郡小鹿野町両神薄,"https://www.google.com/maps/place/%E4%B8%A1%E7%A5%9E%E5%B1%B1/@36.0236329,138.8324526,15z/data=!3m1!4b1!4m5!3m4!1s0x601ea48a40d9e58b:0xf58d2882cc37bcee!8m2!3d36.0236164!4d138.8412288",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Saitama%2C_oganomachi_mount_Ryokami_2007.jpg/450px-Saitama%2C_oganomachi_mount_Ryokami_2007.jpg,https://yamap.com/mountains/24
46,甲武信岳,奥秩父,2475m,☆☆,☆☆,1泊2日,35.90918162,138.728981,〒404-0201 <br>山梨県山梨市三富川浦,"https://www.google.com/maps/place/%E7%94%B2%E6%AD%A6%E4%BF%A1%E3%83%B6%E5%B2%B3/@35.9092338,138.7201619,15z/data=!3m1!4b1!4m5!3m4!1s0x601ea81aa6152be7:0x28b73d69b1f8cf0f!8m2!3d35.9092172!4d138.7289381",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Mt.Kobushigatake_from_Mt.Tokusa_03.jpg/450px-Mt.Kobushigatake_from_Mt.Tokusa_03.jpg,https://yamap.com/mountains/26
47,金峰山,奥秩父,2595m,☆☆,☆☆,前夜泊1日,35.87184893,138.6253839,〒384-1401 <br>長野県南佐久郡川上村川端下,"https://www.google.com/maps/place/%E9%87%91%E5%B3%B0%E5%B1%B1/@35.8718663,138.6166077,15z/data=!3m1!4b1!4m5!3m4!1s0x601c04b3dac80729:0xe2be9b5c2c12bb4e!8m2!3d35.8718498!4d138.6253839",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Mt.Kinpu_from_Dainichi-iwa.jpg/450px-Mt.Kinpu_from_Dainichi-iwa.jpg,https://yamap.com/mountains/176
48,瑞牆山,奥秩父,2230m,☆☆,☆☆,前夜泊1日,35.89343425,138.5920852,〒408-0101 <br>山梨県北杜市須玉町小尾,"https://www.google.com/maps/place/%E7%91%9E%E7%89%86%E5%B1%B1/@35.8935212,138.583309,15z/data=!3m1!4b1!4m5!3m4!1s0x601c1af963fca6c1:0x7ffdc181dcbb590b!8m2!3d35.8935046!4d138.5920852",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Mt.Mizugaki_02.jpg/450px-Mt.Mizugaki_02.jpg,https://yamap.com/mountains/177
49,雲取山,奥秩父,2017m,☆,☆☆,1泊2日,35.8554598,138.943958,〒369-1901 <br>埼玉県秩父市大滝,"https://www.google.com/maps/place/%E9%9B%B2%E5%8F%96%E5%B1%B1/@35.855512,138.9351818,15z/data=!3m1!4b1!4m5!3m4!1s0x60194cb7173d961d:0x7078a18244f514d0!8m2!3d35.8554954!4d138.943958",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Kumotori-nanatsuishi.JPG/450px-Kumotori-nanatsuishi.JPG,https://yamap.com/mountains/25
